col,id,errcode,start,end
blct,9,3,2014-10-10,
blct,12,3,2014-09-21,
blct,13,1,,
blct,17,2,2014-04-30,
blct,18,2,2014-06-23,
blct,19,2,2014-04-29,
blcb,1,2,2014-05-01,
blcb,3,2,2013-08-09,
blcb,5,2,2014-05-01,
blcb,11,3,2014-09-08,
blcb,13,3,2014-07-15,
blcb,14,2,2014-10-05,
blcb,15,1,2014-09-28,
blcb,16,2,2014-03-05,
blcb,17,3,,
blcb,18,3,2014-01-01,
blcb,19,3,,
plab,4,1,2014-05-09,
plab,5,1,2014-05-09,
plab,6,1,2014-05-09,
plab,7,1,2014-05-09,
plab,8,1,2014-05-09,
plab,9,1,2014-05-09,
plab,10,1,2014-05-09,
plab,12,1,2014-05-09,
plab,24,1,2014-05-09,
plab,27,1,2014-05-09,
plab,28,1,2014-05-09,
plab,29,1,2014-05-09,
plab,30,1,2014-05-09,
plab,33,1,2014-05-09,
plab,34,1,2014-05-09,
plab,35,1,2014-05-09,
plab,37,1,2014-05-09,
plab,38,1,2014-05-09,
plab,39,1,2014-05-09,
plab,40,2,2013-08-21,
plat,13,2,2014-03-17,
plat,16,3,2014-07-19,
plat,17,1,,
plat,18,3,2014-04-26,
plat,23,3,2014-04-14,
plat,24,2,2013-07-10,
plat,25,3,2014-04-07,
plat,26,3,2014-07-17,
plat,27,2,2013-09-23,
plat,28,3,2014-04-09,
plat,31,1,,
plat,36,2,2013-03-23,
plat,37,1,,
plat,39,2,2013-04-02,
humb,7,2,2014-03-18,
humt,17,1,,
humt,21,1,,
humt,22,2,2013-06-06
gamb,2,2,2014-07-02,
gamb,12,2,2014-07-02,
gamt,8,2,2014-03-21,
gamt,13,2,2013-10-02,
gamt,14,2,2013-09-30,
gamt,15,3,,
gamt,17,3,,
labb,23,2,2013-03-06
labt,3,1,,
labt,20,2,2013-03-06
labt,21,1,,
labt,30,1,,
labt,37,2,2013-03-06,
labt,38,3,2014-03-03,
oslb,3,1,2014-07-10,
oslb,4,1,2014-07-10,
oslb,15,1,2014-07-10,
oslb,21,1,2014-05-21,
oslb,22,1,2014-05-21,
oslb,23,2,2013-11-22,
oslt,5,2,2014-05-21,
oslt,7,3,,
oslt,9,2,2014-05-21,
oslt,10,2,2014-05-21,
mamt,1,2,2013-03-09,
mamt,2,3,2014-06-10,
mamt,3,3,2014-03-21,
mamt,6,3,2014-03-15,
mamt,7,3,2014-03-15,
mamt,17,2,2012-10-17,
mamt,21,3,2014-06-10,
mamt,22,3,2014-03-15,
mamt,24,3,2014-04-23,
mamb,2,2,2014-04-25,
mamb,15,2,2013-12-29,
mamb,17,2,2012-11-14,
mamb,18,2,2012-09-23,
mamb,20,3,,
mamb,23,3,,
mamb,27,2,2013-07-29,
mamb,29,2,2013-06-17,
bolb,2,2,2012-07-30,
bolb,3,2,,
bolb,7,2,,
bolb,8,1,2014-05-22,
bolb,10,1,2014-05-22,
bolb,12,1,2014-05-22,
bolb,15,1,2014-05-22,
bolb,17,1,2014-05-22,
bolb,19,2,,
bolb,21,1,2014-05-22,
bolb,24,1,2014-05-22,
bolb,26,1,2014-05-22,
bolb,27,1,2014-05-22,
bolb,28,2,2013-11-28,
lipb,5,2,2013-04-23,
lipb,25,1,,
lipt,5,2,2014-08-13,
lipt,18,1,,
lipt,21,1,,
lipt,25,1,,
sinu,7,2,2012-09-28,
sinu,15,2,2012-08-13,
sinu,20,1,,
sinu,25,2,2014-05-19,
sinu,29,1,,
sinb,6,2,2013-11-25,
sinb,7,2,2013-11-25,
sinb,9,2,2014-01-02,
sinb,10,2,2014-01-02,
sinb,11,2,2014-01-02,
sinb,12,2,2014-01-02,
sinb,13,2,2014-04-22,
sinb,14,2,2014-03-17,
sinb,15,2,2013-11-25,
sinb,16,2,2012-08-26,
sinb,18,2,2014-01-02,
sinb,20,2,2014-02-22,
sinb,21,2,2014-02-22,
sinb,22,3,2014-01-02,
sinb,24,2,2013-04-20,
sinb,25,2,2013-11-25,
sinb,28,3,2014-01-02,
sinb,29,3,,
pugt,1,2,2013-05-21,
pugt,4,1,,
pugt,6,2,2013-12-24,
pugt,7,2,2013-12-09,
pugt,10,2,2011-04-09,
pugb,1,2,2013-04-19,
pugb,4,1,,
pugb,9,2,2012-09-11,
pugb,12,2,2013-04-18,

